customer_city,order_id,payment_value
taquarituba,16,2942.6000000000004
morrinhos,18,2929.51
nanuque,25,2920.75
diamantina,27,2907.93
araripina,12,2888.55
veranopolis,18,2878.08
abreu e lima,11,2871.92
monte siao,20,2866.44
pacaja,6,2860.9599999999996
icara,21,2850.9
bonfim paulista,18,2850.17
missal,7,2838.99
cravinhos,24,2838.32
barra de sao joao,13,2835.38
tapiratiba,12,2835.28
iguaba grande,19,2829.65
manhumirim,16,2817.5299999999997
joao pinheiro,16,2814.03
sao francisco,18,2812.23
rio negro,16,2809.8
nossa senhora do socorro,14,2809.56
santa juliana,9,2803.54
araujos,6,2796.3600000000006
brumadinho,26,2795.25
aguas lindas de goias,24,2788.8
ararangua,18,2786.7400000000002
crateus,9,2779.4
aparecida do taboado,7,2768.61
cantagalo,21,2758.09
anchieta,17,2745.38
inhumas,16,2733.51
tiangua,9,2732.68
ouricuri,8,2730.73
eusebio,13,2707.57
cornelio procopio,24,2705.58
querencia,10,2701.95
sarandi,24,2701.4900000000002
laguna,14,2696.25
ilha solteira,24,2694.73
americo brasiliense,17,2688.89
rio grande da serra,26,2681.59
triunfo,14,2675.96
tres pontas,20,2671.83
irece,13,2660.91
candeias,23,2655.83
goiatuba,10,2648.12
ipameri,13,2641.99
socorro,19,2640.22
pitangueiras,18,2635.2
guarani,7,2634.31
porto ferreira,28,2633.59
marau,22,2631.98
serra talhada,10,2625.95
pirai,16,2624.45
penha,17,2621.68
sao borja,18,2616.8900000000003
ipora,17,2616.8
piratininga,9,2614.56
riachao do jacuipe,5,2613.59
queimadas,9,2608.5099999999998
caxias,16,2604.15
carpina,10,2600.23
teotonio vilela,8,2599.38
cajazeiras,12,2599.05
paty do alferes,13,2597.71
sao fidelis,23,2597.42
piuma,17,2590.17
goianesia,18,2588.72
laranjal paulista,17,2583.82
estrela,16,2583.69
sao sebastiao do cai,13,2580.7
pinhalzinho,21,2578.16
paranatinga,2,2574.3199999999997
nova era,15,2565.16
